Sector,Ticker,Name,Shares(Base)
에너지,000001,Energy-A,1000000
에너지,000002,Energy-B,1100000
에너지,000003,Energy-C,1200000
에너지,000004,Energy-D,1300000
에너지,000005,Energy-E,1400000
에너지,000006,Energy-F,1500000
소재,000007,Material-A,1000000
소재,000008,Material-B,1100000
소재,000009,Material-C,1200000
소재,000010,Material-D,1300000
소재,000011,Material-E,1400000
소재,000012,Material-F,1500000
산업재,000013,Industrial-A,1000000
산업재,000014,Industrial-B,1100000
산업재,000015,Industrial-C,1200000
산업재,000016,Industrial-D,1300000
산업재,000017,Industrial-E,1400000
산업재,000018,Industrial-F,1500000
경기소비재,000019,ConsumerDisc-A,1000000
경기소비재,000020,ConsumerDisc-B,1100000
경기소비재,000021,ConsumerDisc-C,1200000
경기소비재,000022,ConsumerDisc-D,1300000
경기소비재,000023,ConsumerDisc-E,1400000
경기소비재,000024,ConsumerDisc-F,1500000
필수소비재,000025,ConsumerStap-A,1000000
필수소비재,000026,ConsumerStap-B,1100000
필수소비재,000027,ConsumerStap-C,1200000
필수소비재,000028,ConsumerStap-D,1300000
필수소비재,000029,ConsumerStap-E,1400000
필수소비재,000030,ConsumerStap-F,1500000
의료,000031,Health-A,1000000
의료,000032,Health-B,1100000
의료,000033,Health-C,1200000
의료,000034,Health-D,1300000
의료,000035,Health-E,1400000
의료,000036,Health-F,1500000
금융,000037,Finance-A,1000000
금융,000038,Finance-B,1100000
금융,000039,Finance-C,1200000
금융,000040,Finance-D,1300000
금융,000041,Finance-E,1400000
금융,000042,Finance-F,1500000
정보기술,000043,IT-A,1000000
정보기술,000044,IT-B,1100000
정보기술,000045,IT-C,1200000
정보기술,000046,IT-D,1300000
정보기술,000047,IT-E,1400000
정보기술,000048,IT-F,1500000
커뮤니케이션서비스,000049,Comm-A,1000000
커뮤니케이션서비스,000050,Comm-B,1100000
커뮤니케이션서비스,000051,Comm-C,1200000
커뮤니케이션서비스,000052,Comm-D,1300000
커뮤니케이션서비스,000053,Comm-E,1400000
커뮤니케이션서비스,000054,Comm-F,1500000
